"title","link","phone","address"
"Holy Redeemer (Webster Groves)","https://www.archstl.org/parish-directory/holy-redeemer-webster-groves","314.962.0038","17 Joy Ave., St. Louis, MO 63119-2599"
"Holy Rosary (Warrenton)","https://www.archstl.org/parish-directory/holy-rosary-warrenton","636.456.3698","724 E. Booneslick Rd., Warrenton, MO 63383-2216"
"Holy Spirit (Maryland Heights)","https://www.archstl.org/parish-directory/holy-spirit-maryland-heights","314.739.0230","3130 Parkwood Ln., Maryland Heights, MO 63043-1396"
"Holy Trinity (St. Ann)","https://www.archstl.org/parish-directory/holy-trinity-st-ann","314.733.1463","3500 St. Luke Ln., St. Ann, MO 63074-2908"
"Immacolata (Richmond Heights)","https://www.archstl.org/parish-directory/immacolata-richmond-heights","314.991.5700","8900 Clayton Rd., St. Louis, MO 63117-1093"
"Immaculate Conception (Arnold)","https://www.archstl.org/parish-directory/immaculate-conception-arnold","636.321.0002","2300 Church Rd., Arnold, MO 63010-2110"
"Immaculate Conception (Augusta)","https://www.archstl.org/parish-directory/immaculate-conception-augusta","636.482.4455","5912 S. Highway 94, Augusta, MO 63332-1604"
"Immaculate Conception (Dardenne Prairie)","https://www.archstl.org/parish-directory/immaculate-conception-dardenne-prairie","636.561.6611","7701 Highway N, Dardenne Prairie, MO 63368-6702"
"Immaculate Conception (Maplewood)","https://www.archstl.org/parish-directory/immaculate-conception-maplewood","314.645.3307","2934 Marshall Ave., St. Louis, MO 63143-3299"
"Immaculate Conception (Old Monroe)","https://www.archstl.org/parish-directory/immaculate-conception-old-monroe","636.661.5002","110 Maryknoll Rd., Old Monroe, MO 63369-2329"
"Immaculate Conception (Park Hills)","https://www.archstl.org/parish-directory/immaculate-conception-park-hills","573.431.2427","1020 W. Main St., P.O. Box 66, Park Hills, MO 63601-0066"
"Immaculate Conception (Union)","https://www.archstl.org/parish-directory/immaculate-conception-union","636.583.5144","100 N. Washington Ave., Union, MO 63084-1692"
"Immaculate Conception (West Alton)","https://www.archstl.org/parish-directory/immaculate-conception-west-alton","314.482.6084","P.O. Box 129, Portage Des Sioux, MO 63373-0129"
"Immaculate Heart of Mary (New Melle)","https://www.archstl.org/parish-directory/immaculate-heart-of-mary-new-melle","636.398.5270","8 W. Highway D, P.O. Box 100, New Melle, MO 63365-0100"
"Immaculate Heart of Mary (St. Louis)","https://www.archstl.org/parish-directory/immaculate-heart-of-mary-st-louis","314.481.7543","4092 Blow St., St. Louis, MO 63116-2796"
"Incarnate Word (Chesterfield)","https://www.archstl.org/parish-directory/incarnate-word-chesterfield","314.576.5366","13416 Olive Blvd., Chesterfield, MO 63017-3196"
"Little Flower (Richmond Heights)","https://www.archstl.org/parish-directory/little-flower-richmond-heights","314.645.1445","1264 Arch Ter., St. Louis, MO 63117-1491"
"Mary, Mother of the Church (Mattese)","https://www.archstl.org/parish-directory/mary-mother-of-the-church-mattese","314.894.1373","5901 Kerth Rd., St. Louis, MO 63128-3705"
"Mary, Queen of Peace (Webster Groves)","https://www.archstl.org/parish-directory/mary-queen-of-peace-webster-groves","314.962.2311","676 W. Lockwood Ave., St. Louis, MO 63119-3597"
"Most Holy Trinity (St. Louis)","https://www.archstl.org/parish-directory/most-holy-trinity-st-louis","314.241.9165","3519 N. Fourteenth St., St. Louis, MO 63107-3796"
"Most Sacred Heart (Eureka)","https://www.archstl.org/parish-directory/most-sacred-heart-eureka","636.938.5048","350 E. Fourth St., Eureka, MO 63025-1949"
"Old St. Ferdinand Shrine","https://www.archstl.org/parish-directory/old-st-ferdinand-shrine","","1 Rue St. Francois, Florissant, MO 63031-6815"
"Our Lady (Festus)","https://www.archstl.org/parish-directory/our-lady-festus","636.931.4702","1550 St. Marys Ln., Festus, MO 63028-1543"
"Our Lady Help of Christians (Weingarten)","https://www.archstl.org/parish-directory/our-lady-help-of-christians-weingarten","573.883.3796","13370 Highway 32, Ste. Genevieve, MO 63670-8304"
"Our Lady of Guadalupe (Ferguson)","https://www.archstl.org/parish-directory/our-lady-of-guadalupe-ferguson","314.522.9264","1115 S. Florissant Rd., St. Louis, MO 63121-1198"
"Our Lady of Lourdes (University City)","https://www.archstl.org/parish-directory/our-lady-of-lourdes-university-city","314.726.6200","7148 Forsyth Blvd., St. Louis, MO 63105-2199"
"Our Lady of Lourdes (Washington)","https://www.archstl.org/parish-directory/our-lady-of-lourdes-washington","636.239.3520","1014 Madison Ave., Washington, MO 63090-4898"
"Our Lady of Providence (Crestwood)","https://www.archstl.org/parish-directory/our-lady-of-providence-crestwood","314.843.3570","8866 Pardee Rd., St. Louis, MO 63123-1096"
"Our Lady of Sorrows (St. Louis)","https://www.archstl.org/parish-directory/our-lady-of-sorrows-st-louis","314.351.1600","5020 Rhodes Ave., St. Louis, MO 63109-3589"
"Our Lady of the Holy Cross (St. Louis)","https://www.archstl.org/parish-directory/our-lady-of-the-holy-cross-st-louis","314.381.0323","8115 Church Rd., St. Louis, MO 63147-1832"
"Our Lady of the Pillar (St. Louis)","https://www.archstl.org/parish-directory/our-lady-of-the-pillar-st-louis","314.993.2280","401 S. Lindbergh Blvd., St. Louis, MO 63131-2729"
"Our Lady of the Presentation (Overland)","https://www.archstl.org/parish-directory/our-lady-of-the-presentation-overland","314.427.0486","8860 Tudor Ave., St. Louis, MO 63114-4998"
"Our Lady of Victory (Sereno)","https://www.archstl.org/parish-directory/our-lady-of-victory-sereno","573.547.4591","172 PCR 920, Perryville, MO 63775-8368"
"Our Lady, Queen of Peace (House Springs)","https://www.archstl.org/parish-directory/our-lady-queen-of-peace-house-springs","636.671.3062","4696 Notre Dame Ln., House Springs, MO 63051-2045"
"Queen of All Saints (Oakville)","https://www.archstl.org/parish-directory/queen-of-all-saints-oakville","314.846.8207","6603 Christopher Dr., St. Louis, MO 63129-4919"
"Resurrection of Our Lord (St. Louis)","https://www.archstl.org/parish-directory/resurrection-of-our-lord-st-louis","314.832.7023","3900 Meramec St., St. Louis, MO 63116-4499"
"Sacred Heart (Crystal City)","https://www.archstl.org/parish-directory/sacred-heart-crystal-city","636.937.4662","555 Bailey Rd., Crystal City, MO 63019-1798"
"Sacred Heart (Elsberry)","https://www.archstl.org/parish-directory/sacred-heart-elsberry","573.898.2202","714 Lincoln St., Elsberry, MO 63343-1125"
"Sacred Heart (Florissant)","https://www.archstl.org/parish-directory/sacred-heart-florissant","314.837.3757","751 N. Jefferson St., Florissant, MO 63031-5085"
"Sacred Heart (Ozora)","https://www.archstl.org/parish-directory/sacred-heart-ozora","573.543.2209","17742 State Rte. N, St. Mary, MO 63673-9035"
"Sacred Heart (Troy)","https://www.archstl.org/parish-directory/sacred-heart-troy","636.528.8219","100 Thompson Dr., Troy, MO 63379-2321"
"Sacred Heart (Valley Park)","https://www.archstl.org/parish-directory/sacred-heart-valley-park","636.225.5268","17 Ann Ave., Valley Park, MO 63088-1696"
"Seven Holy Founders (Affton)","https://www.archstl.org/parish-directory/seven-holy-founders-affton","314.638.3938","6741 S. Rockhill Rd., St. Louis, MO 63123-3198"
"St. Agatha (St. Louis)","https://www.archstl.org/parish-directory/st-agatha-st-louis","314.772.1603","3239 S. Ninth St., St. Louis, MO 63118-2697"
"St. Agnes (Bloomsdale)","https://www.archstl.org/parish-directory/st-agnes-bloomsdale","573.483.2555","40 St. Agnes Dr., P.O. Box 124, Bloomsdale, MO 63627-0124"
"St. Alban Roe (Wildwood)","https://www.archstl.org/parish-directory/st-alban-roe-wildwood","636.458.2977","2001 Shepard Rd., Wildwood, MO 63038-1360"
"St. Alphonsus (Millwood)","https://www.archstl.org/parish-directory/st-alphonsus-millwood","573.384.6223","29 St. Alphonsus Rd., Silex, MO 63377-3217"
"St. Alphonsus Liguori (Rock) (St. Louis)","https://www.archstl.org/parish-directory/st-alphonsus-liguori-rock-st-louis","314.533.0304","1118 N. Grand Blvd., St. Louis, MO 63106-1696"
"St. Ambrose (St. Louis)","https://www.archstl.org/parish-directory/st-ambrose-st-louis","314.771.1228","5130 Wilson Ave., St. Louis, MO 63110-3110"
"St. Andrew (Lemay)","https://www.archstl.org/parish-directory/st-andrew-lemay","314.631.0691","309 Hoffmeister Ave., St. Louis, MO 63125-1609"
"St. Andrew Kim (University City)","https://www.archstl.org/parish-directory/st-andrew-kim-university-city","314.993.1277","8665 Olive Blvd., St. Louis, MO 63132-2586"
"St. Angela Merici (Florissant)","https://www.archstl.org/parish-directory/st-angela-merici-florissant","314.838.6565","3860 N. Highway 67, Florissant, MO 63034-2427"
"St. Ann (Clover Bottom)","https://www.archstl.org/parish-directory/st-ann-clover-bottom","636.239.3222","7851 Highway YY, Washington, MO 63090-4050"
"St. Ann (Normandy)","https://www.archstl.org/parish-directory/st-ann-normandy","314.385.5090","7530 Natural Bridge Rd., St. Louis, MO 63121-4993"
"St. Anne (French Village)","https://www.archstl.org/parish-directory/st-anne-french-village","573.358.2112","C/O 15 St. Joseph St., Bonne Terre, MO 63628-1294"
"St. Anselm (Creve Coeur)","https://www.archstl.org/parish-directory/st-anselm-creve-coeur","314.878.2120","530 S. Mason Rd., St. Louis, MO 63141-8522"
"St. Anthony (Sullivan)","https://www.archstl.org/parish-directory/st-anthony-sullivan","573.468.6101","201 W. Springfield Rd., Sullivan, MO 63080-1550"
"St. Anthony of Padua (High Ridge)","https://www.archstl.org/parish-directory/st-anthony-of-padua-high-ridge","636.677.4868","3009 High Ridge Blvd., High Ridge, MO 63049-2216"
"St. Anthony of Padua (St. Louis)","https://www.archstl.org/parish-directory/st-anthony-of-padua-st-louis","314.353.7470","3140 Meramec St., St. Louis, MO 63118-4399"
"St. Augustine (St. Louis)","https://www.archstl.org/parish-directory/st-augustine-st-louis","314.385.1934","1371 Hamilton Ave., St. Louis, MO 63112-3751"
"St. Barnabas (OFallon)","https://www.archstl.org/parish-directory/st-barnabas-ofallon","636.240.4556","1400 N. Main St., O'Fallon, MO 63366-4321"
"St. Bernadette (Lemay)","https://www.archstl.org/parish-directory/st-bernadette-lemay","314.892.6882","68 Sherman Rd., St. Louis, MO 63125-4125"
"St. Bridget of Kildare (Pacific)","https://www.archstl.org/parish-directory/st-bridget-of-kildare-pacific","636.271.3993","111 W. Union St., Pacific, MO 63069-1414"
"St. Catherine Laboure (Sappington)","https://www.archstl.org/parish-directory/st-catherine-laboure-sappington","314.843.3245","9740 Sappington Rd., St. Louis, MO 63128-1293"
"St. Catherine of Alexandria (Coffman)","https://www.archstl.org/parish-directory/st-catherine-of-alexandria-coffman","573.756.4250","C/O 10 N. Long St., Farmington, MO 63640-3132"
"St. Cecilia (St. Louis)","https://www.archstl.org/parish-directory/st-cecilia-st-louis","314.351.1318","5418 Louisiana Ave., St. Louis, MO 63111-1897"
"St. Charles Borromeo (St. Charles)","https://www.archstl.org/parish-directory/st-charles-borromeo-st-charles","636.946.1893","601 N. Fourth St., St. Charles, MO 63301-2093"
"St. Clare (St. Clair)","https://www.archstl.org/parish-directory/st-clare-st-clair","636.629.0315","165 E. Springfield Rd., St. Clair, MO 63077-1727"
"St. Clare of Assisi (Ellisville)","https://www.archstl.org/parish-directory/st-clare-of-assisi-ellisville","636.394.7307","15642 Clayton Rd., Ellisville, MO 63011-2398"
"St. Clement of Rome (Des Peres)","https://www.archstl.org/parish-directory/st-clement-of-rome-des-peres","314.965.0709","1510 Bopp Rd., St. Louis, MO 63131-4137"
"St. Cletus (St. Charles)","https://www.archstl.org/parish-directory/st-cletus-st-charles","636.946.6327","2705 Zumbehl Rd., St. Charles, MO 63301-1135"
"St. Cronan (St. Louis)","https://www.archstl.org/parish-directory/st-cronan-st-louis","314.289.9384","1202 S. Boyle Ave., St. Louis, MO 63110-3894"
"St. David (Arnold)","https://www.archstl.org/parish-directory/st-david-arnold","636.296.5485","2334 Tenbrook Rd., Arnold, MO 63010-2366"
"St. Elizabeth Ann Seton (St. Charles)","https://www.archstl.org/parish-directory/st-elizabeth-ann-seton-st-charles","636.946.6717","2 Seton Ct., St. Charles, MO 63303-3362"
"St. Elizabeth of Hungary (Crestwood)","https://www.archstl.org/parish-directory/st-elizabeth-of-hungary-crestwood","314.968.0760","1420 S. Sappington Rd., St. Louis, MO 63126-1699"
"St. Elizabeth, Mother of John the Baptist (St. Louis)","https://www.archstl.org/parish-directory/st-elizabeth-mother-of-john-the-baptist-st-louis","314.381.4145","4330 Shreve Ave., St. Louis, MO 63115-2199"
"St. Ferdinand (Florissant)","https://www.archstl.org/parish-directory/st-ferdinand-florissant","314.837.3165","1765 Charbonier Rd., Florissant, MO 63031-5497"
"St. Francis Borgia (Washington)","https://www.archstl.org/parish-directory/st-francis-borgia-washington","636.239.6701","115 Cedar St., Washington, MO 63090-2193"
"St. Francis De Sales Oratory (St. Louis)","https://www.archstl.org/parish-directory/st-francis-de-sales-oratory-st-louis","314.771.3100","2653 Ohio Ave., St. Louis, MO 63118-1594"
"St. Francis of Assisi (Luebbering)","https://www.archstl.org/parish-directory/st-francis-of-assisi-luebbering","636.629.1717","1000 Luebbering Rd., Luebbering, MO 63061-3100"
"St. Francis of Assisi (Oakville)","https://www.archstl.org/parish-directory/st-francis-of-assisi-oakville","314.487.5736","4556 Telegraph Rd., St. Louis, MO 63129-3397"
"St. Francis of Assisi (Portage des Sioux)","https://www.archstl.org/parish-directory/st-francis-of-assisi-portage-des-sioux","314.482.6084","1355 Farnam St., P.O. Box 129, Portage Des Sioux, MO 63373-0129"
"St. Francis Xavier (College Church) (St. Louis)","https://www.archstl.org/parish-directory/st-francis-xavier-college-church-st-louis","314.977.7300","3628 Lindell Blvd., St. Louis, MO 63108-3394"
"St. Gabriel the Archangel (St. Louis)","https://www.archstl.org/parish-directory/st-gabriel-the-archangel-st-louis","314.353.6303","6303 Nottingham Ave., St. Louis, MO 63109-3177"
"St. Gerald","https://www.archstl.org/parish-directory/st-gerald","573.459.6441","c/o 124 Holy Family Church Rd., New Haven, MO 63068"
"St. Gerard Majella (Kirkwood)","https://www.archstl.org/parish-directory/st-gerard-majella-kirkwood","314.965.3985","1969 Dougherty Ferry Rd., St. Louis, MO 63122-3538"
"St. Gertrude (Krakow)","https://www.archstl.org/parish-directory/st-gertrude-krakow","636.239.4216","6535 Highway YY, Washington, MO 63090-4074"
"St. Gianna (Wentzville)","https://www.archstl.org/parish-directory/st-gianna-wentzville","636.327.3639","450 E. Highway N, Wentzville, MO 63385-5905"
"St. Gregory the Great and St. Augustine of Canterbury Oratory (Richmond Heights))","https://www.archstl.org/parish-directory/st-gregory-the-great-and-st-augustine-of-canterbury-oratory-richmond-heights","314.439.0151","7230 Dale Avenue, St. Louis, MO 63117-2398"
"St. Ignatius Loyola (Concord Hill)","https://www.archstl.org/parish-directory/st-ignatius-loyola-concord-hill","636.932.4445","19127 Mill Rd., Marthasville, MO 63357-3096"
"St. James (Catawissa)","https://www.archstl.org/parish-directory/st-james-catawissa","636.451.4685","1107 Summit Dr., Catawissa, MO 63015-1404"
"St. James (Crosstown)","https://www.archstl.org/parish-directory/st-james-crosstown","573.547.4591","Administered from St. Vincent de Paul (Perryville), C/O 1010 Rosati Ct."
"St. James (Potosi)","https://www.archstl.org/parish-directory/st-james-potosi","573.438.4686","201 N. Missouri Ave., Potosi, MO 63664-1745"
"St. James the Greater (St. Louis)","https://www.archstl.org/parish-directory/st-james-the-greater-st-louis","314.645.0167","6401 Wade Ave., St. Louis, MO 63139-3497"
"St. Joachim (Old Mines)","https://www.archstl.org/parish-directory/st-joachim-old-mines","573.438.6181","10120 Crest Rd., Cadet, MO 63630-9629"
"St. Joan of Arc (St. Louis)","https://www.archstl.org/parish-directory/st-joan-of-arc-st-louis","314.832.2838","5800 Oleatha Ave., St. Louis, MO 63139-1979"
"St. John (Imperial)","https://www.archstl.org/parish-directory/st-john-imperial","636.296.8061","4614 Blue Springs Dr., Imperial, MO 63052-1237"
"St. John Bosco (Creve Coeur)","https://www.archstl.org/parish-directory/st-john-bosco-creve-coeur","314.434.1312","12934 Marine Ave., St. Louis, MO 63146-2234"
"St. John Nepomuk Chapel (St. Louis)","https://www.archstl.org/parish-directory/st-john-nepomuk-chapel-st-louis","314.231.0141","1625 S. Eleventh St., St. Louis, MO 63104-3705"
"St. John Paul II (Affton)","https://www.archstl.org/parish-directory/st-john-paul-ii-affton","314.353.7629","4980 Heege Road, St. Louis, MO 63123-4791"
"St. John the Apostle (Bismarck)","https://www.archstl.org/parish-directory/st-john-the-apostle-bismarck","573.431.2427","P.O. Box 66, Park Hills, MO 63601-0066"
"St. John the Baptist (Gildehaus)","https://www.archstl.org/parish-directory/st-john-the-baptist-gildehaus","636.583.2488","5567 Gildehaus Rd., Villa Ridge, MO 63089-1228"
"St. John the Baptist (St. Louis)","https://www.archstl.org/parish-directory/st-john-the-baptist-st-louis","314.353.1255","4200 Delor St., St. Louis, MO 63116-2388"
"St. John, Apostle and Evangelist (St. Louis)","https://www.archstl.org/parish-directory/st-john-apostle-and-evangelist-st-louis","314.421.3467","15 Plaza Sq., St. Louis, MO 63103-2395"
"St. Joseph (Apple Creek)","https://www.archstl.org/parish-directory/st-joseph-apple-creek","573.788.2330","138 St. Joseph Ln., Perryville, MO 63775-6242"
"St. Joseph (Bonne Terre)","https://www.archstl.org/parish-directory/st-joseph-bonne-terre","573.358.2112","15 St. Joseph St., Bonne Terre, MO 63628-1294"
"St. Joseph (Clayton)","https://www.archstl.org/parish-directory/st-joseph-clayton","314.726.1221","106 N. Meramec Ave., St. Louis, MO 63105-3788"
"St. Joseph (Cottleville)","https://www.archstl.org/parish-directory/st-joseph-cottleville","636.441.0055","1355 Motherhead Rd., St. Charles, MO 63304-7686"
"St. Joseph (Farmington)","https://www.archstl.org/parish-directory/st-joseph-farmington","573.756.4250","10 N. Long St., Farmington, MO 63640-3132"
"St. Joseph (Highland)","https://www.archstl.org/parish-directory/st-joseph-highland","573.547.4300","C/O 1010 Rosati Ct., Perryville, MO 63775-2319"
"St. Joseph (Imperial)","https://www.archstl.org/parish-directory/st-joseph-imperial","636.464.1013","6020 Old Antonia Rd., Imperial, MO 63052-2394"
"St. Joseph (Josephville)","https://www.archstl.org/parish-directory/st-joseph-josephville","636.332.6676","1390 Josephville Rd., Wentzville, MO 63385-3008"
"St. Joseph (Manchester)","https://www.archstl.org/parish-directory/st-joseph-manchester","636.227.5247","567 St. Joseph Ln., Manchester, MO 63021-5393"
"St. Joseph (Neier)","https://www.archstl.org/parish-directory/st-joseph-neier","636.583.2806","2401 Neier Rd., Union, MO 63084-3411"
"St. Joseph (Tiff)","https://www.archstl.org/parish-directory/st-joseph-tiff","573.438.6181","C/O 10120 Crest Rd., Cadet, MO 63630-9717"
"St. Joseph (Zell)","https://www.archstl.org/parish-directory/st-joseph-zell","573.883.3481","11824 Zell Rd., Ste. Genevieve, MO 63670-8025"
"St. Joseph, Shrine of (St. Louis)","https://www.archstl.org/parish-directory/st-joseph-shrine-of-st-louis","314.231.9407","1220 N. Eleventh St., St. Louis, MO 63106-4614"
"St. Joseph-Croatian (St. Louis)","https://www.archstl.org/parish-directory/st-joseph-croatian-st-louis","314.771.0958","2112 S. Twelfth St., St. Louis, MO 63104-4129"
"St. Jude (Overland)","https://www.archstl.org/parish-directory/st-jude-overland","314.428.2262","2218 N. Warson Rd., St. Louis, MO 63114-2025"
"St. Justin Martyr (Sunset Hills)","https://www.archstl.org/parish-directory/st-justin-martyr-sunset-hills","314.843.8482","11910 Eddie and Park Rd., St. Louis, MO 63126-2908"
"St. Lawrence (Lawrenceton)","https://www.archstl.org/parish-directory/st-lawrence-lawrenceton","573.483.2555","C/O 40 St. Agnes Dr., P.O. Box 124"
"St. Louis Byzantine (Ruthenian) Church Byzantine Eparchy of Parma","https://www.archstl.org/parish-directory/st-louis-byzantine-ruthenian-church-byzantine-eparchy-of-parma","314.434.4211","320 E. Ripa Ave., St. Louis, MO 63123"
"St. Luke the Evangelist (Richmond Heights)","https://www.archstl.org/parish-directory/st-luke-the-evangelist-richmond-heights","314.644.2144","7230 Dale Ave., St. Louis, MO 63117-2398"
"St. Margaret Mary Alacoque (Mehlville)","https://www.archstl.org/parish-directory/st-margaret-mary-alacoque-mehlville","314.487.2522","4900 Ringer Rd., St. Louis, MO 63129-1797"
"St. Margaret of Scotland (St. Louis)","https://www.archstl.org/parish-directory/st-margaret-of-scotland-st-louis","314.776.0363","3854 Flad Ave., St. Louis, MO 63110-4024"
"St. Mark","https://www.archstl.org/parish-directory/st-mark","314.743.8600","4200 Ripa Ave., St. Louis, MO 63125-6815"
"St. Martin De Porres (Hazelwood)","https://www.archstl.org/parish-directory/st-martin-de-porres-hazelwood","314.895.1100","615 Dunn Rd., Hazelwood, MO 63042-1725"
"St. Martin of Tours (Lemay)","https://www.archstl.org/parish-directory/st-martin-of-tours-lemay","314.544.5664","610 W. Ripa Ave., St. Louis, MO 63125-2524"
"St. Mary (Hawk Point)","https://www.archstl.org/parish-directory/st-mary-hawk-point","636.338.4331","P.O. Box 205, Hawk Point, MO 63349-0205"
"St. Mary Magdalen (Brentwood)","https://www.archstl.org/parish-directory/st-mary-magdalen-brentwood","314.961.8400","2618 Brentwood Blvd., St. Louis, MO 63144-2319"
"St. Mary Magdalen (St. Louis)","https://www.archstl.org/parish-directory/st-mary-magdalen-st-louis","314.352.2111","4924 Bancroft Ave., St. Louis, MO 63109-2499"
"St. Mary of Perpetual Help (Moselle)","https://www.archstl.org/parish-directory/st-mary-of-perpetual-help-moselle","636.451.4685","1587 Highway AM, Villa Ridge, MO 63089-2732"
"St. Mary of Victories Chapel (St. Louis)","https://www.archstl.org/parish-directory/st-mary-of-victories-chapel-st-louis","314.231.8101","744 South 3rd Street, St. Louis, MO 63102-1645"
"St. Mary's Assumption Ukrainian Catholic Church","https://www.archstl.org/parish-directory/st-marys-assumption-ukrainian-catholic-church","314.303.2893","11363 Oak Branch Dr., St. Louis, MO 63128"
"St. Matthew the Apostle (St. Louis)","https://www.archstl.org/parish-directory/st-matthew-the-apostle-st-louis","314.531.6443","2715 N. Sarah St., St. Louis, MO 63113-2940"
"St. Matthias (Lemay)","https://www.archstl.org/parish-directory/st-matthias-lemay","314.892.5109","796 Buckley Rd., St. Louis, MO 63125-5348"
"St. Maurus (Biehle)","https://www.archstl.org/parish-directory/st-maurus-biehle","573.788.2330","10198 Highway B, Perryville, MO 63775-5736"
"St. Michael the Archangel (Shrewsbury)","https://www.archstl.org/parish-directory/st-michael-the-archangel-shrewsbury","314.647.5611","7622 Sutherland Ave., St. Louis, MO 63119-2895"
"St. Monica (Creve Coeur)","https://www.archstl.org/parish-directory/st-monica-creve-coeur","314.434.4211","12136 Olive Blvd., St. Louis, MO 63141-6629"
"St. Nicholas (St. Louis)","https://www.archstl.org/parish-directory/st-nicholas-st-louis","314.231.2860","701 N. 18th St., St. Louis, MO 63103-1727"
"St. Norbert (Florissant)","https://www.archstl.org/parish-directory/st-norbert-florissant","314.831.3874","16455 New Halls Ferry Rd., Florissant, MO 63031-1199"
"St. Patrick (Armagh)","https://www.archstl.org/parish-directory/st-patrick-armagh","636.271.6038","C/O 1107 Summit Dr., Catawissa, MO 63015-1404"
"St. Patrick (Wentzville)","https://www.archstl.org/parish-directory/st-patrick-wentzville","636.332.9225","405 S. Church St., Wentzville, MO 63385-1606"
"St. Paul (Berger)","https://www.archstl.org/parish-directory/st-paul-berger","573.237.3372","C/O 603 Miller St., New Haven, MO 63068-1116"
"St. Paul (Fenton)","https://www.archstl.org/parish-directory/st-paul-fenton","636.343.1234","15 Forest Knoll Dr., Fenton, MO 63026-3105"
"St. Paul (St. Paul)","https://www.archstl.org/parish-directory/st-paul-st-paul","636.978.1900","1223 Church Rd., O'Fallon, MO 63366-5105"
"St. Peter (Kirkwood)","https://www.archstl.org/parish-directory/st-peter-kirkwood","314.966.8600","243 W. Argonne Dr., Kirkwood, MO 63122-4295"
"St. Peter (St. Charles)","https://www.archstl.org/parish-directory/st-peter-st-charles","636.946.6641","221 First Capitol Dr., St. Charles, MO 63301-3413"
"St. Pius V (St. Louis)","https://www.archstl.org/parish-directory/st-pius-v-st-louis","314.772.1525","3310 S. Grand Blvd., St. Louis, MO 63118-1089"
"St. Raphael the Archangel (St. Louis)","https://www.archstl.org/parish-directory/st-raphael-the-archangel-st-louis","314.352.8100","6047 Bishops Pl., St. Louis, MO 63109-3398"
